time="2025-12-26 16:00:30" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-26 16:11:55" level=info msg="| 200 |  5.129373541s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:11:58" level=info msg="| 200 |    2.848041ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:02" level=info msg="| 200 |    3.121792ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:06" level=info msg="| 200 |  6.937896209s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:07" level=info msg="| 200 |  4.264358458s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:10" level=info msg="| 200 |    2.119917ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:14" level=info msg="| 200 |    1.431792ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:18" level=info msg="| 200 |     7.440717s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:20" level=info msg="| 200 |   5.32924525s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:23" level=info msg="| 200 |    3.139292ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:27" level=info msg="| 200 |    2.398625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:29" level=info msg="| 200 |  5.795986416s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:32" level=info msg="| 200 |  4.479748417s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:35" level=info msg="| 200 |    1.842417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:39" level=info msg="| 200 |    1.208958ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:42" level=info msg="| 200 |  6.366621542s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:46" level=info msg="| 200 |  6.066809584s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:49" level=info msg="| 200 |    1.891625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:53" level=info msg="| 200 |    2.225875ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:12:55" level=info msg="| 200 |  5.896221583s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:12:58" level=info msg="| 200 |  4.547038459s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:01" level=info msg="| 200 |    3.565875ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:05" level=info msg="| 200 |  3.854991667s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:09" level=info msg="| 200 |     2.76175ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:13" level=info msg="| 200 |  3.793295875s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:13" level=info msg="| 200 |     2.35625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:17" level=info msg="| 200 |    1.770542ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:21" level=info msg="| 200 |    1.215542ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:25" level=info msg="| 200 |    2.169792ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:27" level=info msg="| 200 |  9.152580041s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:29" level=info msg="| 200 |   7.69871575s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:30" level=info msg="| 200 |  4.082522083s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:33" level=info msg="| 200 |    4.379417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:37" level=info msg="| 200 |    1.576667ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:13:38" level=info msg="| 200 |  4.326891917s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:13:41" level=info msg="| 200 |    1.704666ms |             ::1 | GET | /livechat?user_id=agent |"
